"occ","y4_hhid","lvstckid","lf02_01","lf02_02","lf02_03","lf02_04_1","lf02_04_2","lf02_05","lf02_06","lf02_07","lf02_08","lf02_09","lf02_10","lf02_11","lf02_12","lf02_13","lf02_14","lf02_15","lf02_16","lf02_17","lf02_18","lf02_19","lf02_20","lf02_21","lf02_22","lf02_23","lf02_24","lf02_25","lf02_26","lf02_27_1","lf02_27_2","lf02_28_1","lf02_28_2","lf02_29","lf02_30","lf02_31","lf02_32","lf02_33","lf02_34_1","lf02_34_2","lf02_35_1","lf02_35_2"
1,"1000-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1000-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1000-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1000-001",4,1,0,1,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
5,"1000-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1000-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1000-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1000-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1000-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1000-001",10,1,20,41,16,0,30,2,,,2,,,1,2,1,1,10,80000,2,,,2,,,1,12,102000,3,,"LF01",,1,1,1.5,0,,,,,
11,"1000-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1000-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1000-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1000-001",14,1,2,1,1,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
15,"1000-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1000-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1001-001",1,1,2,2,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,370000,1,,"LF01",,2,,,,,,,,
2,"1001-001",2,1,3,3,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,350000,1,,"LF01",,2,,,,,,,,
3,"1001-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1001-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1001-001",5,1,2,1,1,0,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"1001-001",6,1,2,1,1,0,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"1001-001",7,1,12,12,5,0,2,2,,,2,,,2,,,2,,,2,,,2,,,1,7,35000,1,,"LF01",,2,,,,,,,,
8,"1001-001",8,1,20,15,10,0,5,2,,,2,,,2,,,2,,,2,,,2,,,1,5,35000,1,,"LF01",,2,,,,,,,,
9,"1001-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
