occ,y4_hhid,lvstckcat,lf03_01,lf03_02_1,lf03_02_2,lf03_02_3,lf03_02_4,lf03_03,lf03_04,lf03_05_1,lf03_05_2,lf03_05_3,lf03_05_4,lf03_06,lf03_07,lf03_08,lf03_09,lf03_10,lf03_11,lf03_12,lf03_13,lf03_14
1,1000-001,1,1,12,3,,,1,1,12,3,,,1,1,1,2,1,1,1,1,16000
2,1000-001,2,2,,,,,,,,,,,,,,,,,,,
3,1000-001,3,2,,,,,,,,,,,,,,,,,,,
4,1000-001,4,1,10,,,,1,4,10,,,,3,,,,,,1,4,1000
5,1000-001,5,1,,,,,,,,,,,,,,,,,,,
6,1000-001,6,2,,,,,,,,,,,,,,,,,,,
1,1001-001,1,1,5,,,,3,,,,,,1,4,1,2,1,4,1,4,10000
2,1001-001,2,1,5,,,,3,,,,,,1,4,1,2,1,4,1,4,10000
3,1001-001,3,2,,,,,,,,,,,,,,,,,,,
4,1001-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1001-001,5,1,,,,,,,,,,,,,,,,,,,
6,1001-001,6,2,,,,,,,,,,,,,,,,,,,
1,1002-001,1,1,22,,,,1,1,8,2,,,1,1,1,2,3,,1,1,20000
2,1002-001,2,2,,,,,,,,,,,,,,,,,,,
3,1002-001,3,2,,,,,,,,,,,,,,,,,,,
4,1002-001,4,1,11,,,,1,1,11,,,,3,,,,,,1,1,5000
5,1002-001,5,2,,,,,,,,,,,,,,,,,,,
6,1002-001,6,2,,,,,,,,,,,,,,,,,,,
1,1003-001,1,1,2,3,,,1,1,2,,,,1,1,1,1,3,,1,1,40000
2,1003-001,2,1,4,8,,,1,1,4,8,,,1,1,1,1,3,,1,1,30000
3,1003-001,3,2,,,,,,,,,,,,,,,,,,,
4,1003-001,4,1,22,,,,1,1,10,,,,3,,,,,,1,4,0
5,1003-001,5,1,,,,,,,,,,,,,,,,,,,
6,1003-001,6,2,,,,,,,,,,,,,,,,,,,
1,1005-001,1,1,7,,,,1,1,2,7,,,1,1,1,1,1,1,1,1,20000
2,1005-001,2,1,8,,,,1,1,8,,,,1,1,1,1,1,1,1,1,60000
3,1005-001,3,2,,,,,,,,,,,,,,,,,,,
4,1005-001,4,1,10,,,,1,1,10,,,,1,1,,,,,1,1,3000
5,1005-001,5,1,,,,,,,,,,,,,,,,,,,
6,1005-001,6,2,,,,,,,,,,,,,,,,,,,
1,1006-001,1,1,3,,,,1,2,2,,,,3,,1,2,3,,1,2,10000
2,1006-001,2,1,22,,,,1,2,4,,,,3,,3,,3,,3,,10000
3,1006-001,3,2,,,,,,,,,,,,,,,,,,,
4,1006-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1006-001,5,1,,,,,,,,,,,,,,,,,,,
6,1006-001,6,1,22,,,,3,,,,,,,,,,,,,,
1,1007-001,1,1,2,,,,1,2,2,,,,1,4,1,2,3,,1,2,4000
2,1007-001,2,1,4,,,,1,2,4,,,,1,4,1,2,3,,1,2,12000
3,1007-001,3,2,,,,,,,,,,,,,,,,,,,
4,1007-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1007-001,5,2,,,,,,,,,,,,,,,,,,,
6,1007-001,6,2,,,,,,,,,,,,,,,,,,,
1,1009-001,1,1,2,,,,1,1,5,2,,,1,1,1,2,3,,1,1,15000
2,1009-001,2,2,,,,,,,,,,,,,,,,,,,
3,1009-001,3,2,,,,,,,,,,,,,,,,,,,
4,1009-001,4,1,10,,,,1,1,10,,,,3,,,,,,1,1,5000
5,1009-001,5,2,,,,,,,,,,,,,,,,,,,
6,1009-001,6,2,,,,,,,,,,,,,,,,,,,
1,1019-001,,,,,,,,,,,,,,,,,,,,,
